Rank,Company Name,Ticker Symbol,Index Weight %,Stock Price,Day Change $,Day Change %
394,Genuine Parts Company,GPC,0.03,132.64,1.22,0.92
395,Principal Financial Group,PFG,0.03,81.74,2.17,2.73
396,GoDaddy,GDDY,0.03,131.28,-0.60,-0.45
397,Dow Inc.,DOW,0.03,25.40,-0.33,-1.27
398,Snap-on,SNA,0.03,345.23,-1.02,-0.30
399,Evergy,EVRG,0.03,77.95,-0.36,-0.46
400,Paramount Skydance Corp,PSKY,0.03,16.33,-0.24,-1.45
401,Pentair,PNR,0.03,109.28,0.15,0.14
402,Coterra,CTRA,0.03,23.39,-0.29,-1.20
403,McCormick & Company,MKC,0.03,66.30,-0.83,-1.24
404,Best Buy,BBY,0.03,84.26,1.38,1.66
405,Lennox International,LII,0.03,503.67,1.45,0.29
406,Incyte,INCY,0.03,90.02,-3.06,-3.29
407,Alliant Energy,LNT,0.03,67.84,-1.02,-1.48
408,Invitation Homes,INVH,0.03,28.31,-0.57,-1.97
409,Weyerhaeuser,WY,0.03,23.82,-0.20,-0.85
410,Erie Indemnity,ERIE,0.03,325.44,-4.53,-1.37
411,Fortive,FTV,0.03,49.42,-0.05,-0.10
412,International Flavors & Fragrances,IFF,0.03,65.22,-0.07,-0.10
413,Essex Property Trust,ESS,0.03,257.93,-4.39,-1.67
414,Gen Digital,GEN,0.03,26.86,0.02,0.06
415,Hologic,HOLX,0.03,73.97,0.02,0.03
416,Centene Corporation,CNC,0.03,33.49,0.34,1.04
417,Southwest Airlines,LUV,0.03,31.76,-0.49,-1.53
418,Expeditors International,EXPD,0.03,120.70,1.05,0.87
419,J.B. Hunt,JBHT,0.03,167.67,-0.10,-0.06
420,"F5, Inc.",FFIV,0.02,268.16,-22.25,-7.66
421,LyondellBasell,LYB,0.02,47.74,-1.35,-2.76
422,Mid-America Apartment Communities,MAA,0.02,130.95,-2.06,-1.55
423,TKO Group Holdings,TKO,0.02,186.05,-1.46,-0.78
424,C.H. Robinson,CHRW,0.02,129.00,-0.06,-0.05
425,Omnicom Group,OMC,0.02,77.76,-1.44,-1.81
426,Kimco Realty,KIM,0.02,21.81,-0.57,-2.53
427,Allegion,ALLE,0.02,169.51,-1.43,-0.84
428,Masco,MAS,0.02,68.96,0.64,0.94
429,Cooper Companies (The),COO,0.02,72.02,-0.83,-1.14
430,Clorox,CLX,0.02,116.40,0.90,0.78
431,Textron,TXT,0.02,80.25,-0.22,-0.27
432,Avery Dennison,AVY,0.02,180.46,-0.01,-0.01
433,CF Industries,CF,0.02,86.53,0.14,0.16
434,Domino's,DPZ,0.02,414.06,1.36,0.33
435,Universal Health Services,UHS,0.02,216.77,2.74,1.28
436,Brown–Forman,BF.B,0.02,28.52,0.02,0.06
437,Ball Corporation,BALL,0.02,49.48,-0.37,-0.75
438,Nordson Corporation,NDSN,0.02,238.14,-0.22,-0.09
439,Builders FirstSource,BLDR,0.02,121.03,-2.16,-1.75
440,Zebra Technologies,ZBRA,0.02,262.74,-47.83,-15.40
441,Hormel Foods,HRL,0.02,23.82,0.08,0.32
442,Everest Group,EG,0.02,311.45,-32.54,-9.46
443,Deckers Brands,DECK,0.02,87.57,-2.90,-3.21
444,Regency Centers,REG,0.02,71.53,-1.65,-2.26
445,Fox Corporation (Class B),FOX,0.02,54.73,-0.08,-0.15
446,Fox Corporation (Class A),FOXA,0.02,61.31,0.04,0.07
447,Wynn Resorts,WYNN,0.02,122.24,-3.20,-2.55
448,Skyworks Solutions,SWKS,0.02,84.82,8.98,11.84
449,Healthpeak Properties,DOC,0.02,18.09,-0.97,-5.12
450,IDEX Corporation,IEX,0.02,166.62,-0.98,-0.58
451,Solventum,SOLV,0.02,71.30,-0.68,-0.94
452,Franklin Resources,BEN,0.02,23.32,-0.06,-0.28
453,Viatris,VTRS,0.02,10.37,-0.05,-0.53
454,"BXP, Inc.",BXP,0.02,74.31,-0.22,-0.30
455,Huntington Ingalls Industries,HII,0.02,299.74,-1.95,-0.65
456,Baxter International,BAX,0.02,22.87,-0.31,-1.32
457,"UDR, Inc.",UDR,0.02,35.23,-0.78,-2.17
458,Host Hotels & Resorts,HST,0.02,16.50,-0.14,-0.87
459,Albemarle Corporation,ALB,0.02,96.27,0.04,0.04
460,Jack Henry & Associates,JKHY,0.02,155.49,-0.81,-0.52
461,Stanley Black & Decker,SWK,0.02,72.99,0.91,1.26
462,Paycom,PAYC,0.02,200.08,-0.16,-0.08
463,Revvity,RVTY,0.02,96.92,-0.24,-0.25
464,J.M. Smucker Company (The),SJM,0.02,105.04,0.27,0.26
465,Generac,GNRC,0.02,189.68,-0.73,-0.39
466,Alexandria Real Estate Equities,ARE,0.02,64.89,-12.98,-16.67
467,Hasbro,HAS,0.02,78.18,0.09,0.11
468,Globe Life,GL,0.02,134.90,-0.09,-0.07
469,Camden Property Trust,CPT,0.02,102.12,-2.04,-1.96
470,Akamai Technologies,AKAM,0.02,75.94,0.45,0.59
471,FactSet,FDS,0.02,290.27,-0.06,-0.02
472,Pool Corporation,POOL,0.02,290.53,-3.03,-1.03
473,Pinnacle West,PNW,0.02,90.69,-1.11,-1.21
474,Dayforce,DAY,0.02,68.44,-0.02,-0.02
475,Invesco,IVZ,0.02,23.72,0.26,1.11
476,Assurant,AIZ,0.02,209.25,-2.94,-1.39
477,AES Corporation,AES,0.02,14.52,0.03,0.17
478,Moderna,MRNA,0.02,26.23,-0.43,-1.63
479,Norwegian Cruise Line Holdings,NCLH,0.02,22.33,-1.18,-5.02
480,News Corp (Class A),NWSA,0.02,26.92,0.16,0.62
481,Bio-Techne,TECH,0.02,64.39,0.14,0.21
482,Interpublic Group of Companies (The),IPG,0.02,26.62,-0.49,-1.81
483,Align Technology,ALGN,0.02,134.48,-1.18,-0.87
484,Mosaic Company (The),MOS,0.02,29.64,0.08,0.25
485,A. O. Smith,AOS,0.02,66.88,-1.73,-2.52
486,Campbell Soup Company,CPB,0.01,31.35,-0.04,-0.14
487,DaVita,DVA,0.01,130.25,0.70,0.54
488,Charles River Laboratories,CRL,0.01,188.17,-7.11,-3.64
489,Lamb Weston,LW,0.01,65.83,-0.74,-1.12
490,EPAM Systems,EPAM,0.01,162.08,-0.37,-0.23
491,Molson Coors Beverage Company,TAP,0.01,45.44,0.16,0.36
492,Conagra Brands,CAG,0.01,18.22,-0.29,-1.54
493,MGM Resorts,MGM,0.01,31.98,-0.93,-2.82
494,Federal Realty Investment Trust,FRT,0.01,98.35,-2.64,-2.62
495,Molina Healthcare,MOH,0.01,163.62,1.43,0.88
496,APA Corporation,APA,0.01,22.74,-0.61,-2.59
497,LKQ Corporation,LKQ,0.01,31.26,-0.22,-0.70
498,Match Group,MTCH,0.01,32.76,-0.06,-0.17
499,Henry Schein,HSIC,0.01,63.60,0.06,0.10
500,Mohawk Industries,MHK,0.01,119.60,0.41,0.34
